ID,RefSeq_accession_number,gene_symbol,gene_name
4178,NP_001123992,ZNF195,zinc finger protein 195 isoform 1
4179,NP_001013768,ZNF107,zinc finger protein 107
4180,NP_001191385,RBAK,RB-associated KRAB zinc finger protein
4181,NP_899061,ZNF605,zinc finger protein 605 isoform 1
4182,NP_055604,ZNF623,zinc finger protein 623 isoform 1
4183,NP_001075949,ZNF623,zinc finger protein 623 isoform 2
4184,NP_001078837,ZNF655,zinc finger protein 655 isoform f
4185,NP_065838,ZNF624,zinc finger protein 624
4186,NP_001001662,ZNF782,zinc finger protein 782
4187,NP_942596,ZNF160,zinc finger protein 160
4188,NP_001258777,ZNF700,zinc finger protein 700 isoform 2
4189,NP_001243582,ZNF43,zinc finger protein 43 isoform 3
4190,NP_940859,ZNF600,zinc finger protein 600
4191,NP_056936,ZNF117,zinc finger protein 117
4192,NP_116217,ZNF587,zinc finger protein 587 isoform 1
4193,NP_612383,ZNF845,zinc finger protein 845
4194,NP_689816,ZNF567,zinc finger protein 567
4195,NP_003407,ZNF7,zinc finger protein 7
4196,NP_001166109,ZNF62,zinc finger protein 62 homolog isoform 2
4197,NP_872330,ZNF595,zinc finger protein 595
4198,NP_001035275,ZNF765,zinc finger protein 765
4199,NP_001004301,ZNF813,zinc finger protein 813
4200,NP_001166161,ZNF573,zinc finger protein 573 isoform 3
4201,NP_612143,ZNF681,zinc finger protein 681
4202,NP_001070146,ZNF493,zinc finger protein 493 isoform 3
4203,NP_001252526,ZNF211,zinc finger protein 211 isoform 3
4204,NP_065906,ZNF492,zinc finger protein 492
4205,NP_061983,ZKSCAN4,zinc finger protein with KRAB and SCAN domains 4
4206,NP_001265048,ZKSCAN8,zinc finger protein with KRAB and SCAN domains 8 isoform 1
4207,NP_008887,ZNF121,zinc finger protein 12 isoform b
4208,NP_116313,ZNF3,zinc finger protein 3 isoform 2
4209,NP_001018855,ZNF749,zinc finger protein 749
4210,NP_001001668,ZNF470,zinc finger protein 470
4211,NP_443084,ZNF486,zinc finger protein 486
4212,NP_003416,ZNF45,zinc finger protein 45
4213,NP_066971,ZNF273,zinc finger protein 273
4214,NP_689839,ZNF92,zinc finger protein 92 isoform 2
4215,NP_001166142,ZNF430,zinc finger protein 430 isoform 2
4216,NP_001092096,ZNF98,zinc finger protein 98
4217,NP_689570,ZNF440,zinc finger protein 440
4218,NP_001138461,ZNF814,putative uncharacterized zinc finger protein 814
4219,NP_112234,ZNF611,zinc finger protein 611 isoform a
4220,NP_003406,ZNF268,zinc finger protein 268 isoform a
4221,NP_666019,ZSCAN21,zinc finger and SCAN domain-containing protein 21
4222,NP_689697,ZNF569,zinc finger protein 569
4223,NP_001008801,ZNF468,zinc finger protein 468 isoform 2
4224,NP_848639,ZNF546,zinc finger protein 546
4225,NP_008922,ZNF197,zinc finger protein 197 isoform 1
4226,XP_003846493,GNOMON,PREDICTED: zinc finger protein 84-like isoform 2
4227,NP_055532,ZNF536,zinc finger protein 536
4228,NP_001008727,ZNF121,zinc finger protein 121
4229,NP_001018857,ZNF805,zinc finger protein 805 isoform 1
4230,NP_001129971,ZNF841,zinc finger protein 841
4231,NP_997216,ZNF320,zinc finger protein 320
4232,XP_003960942,GNOMON,PREDICTED: zinc finger protein 28
4233,NP_001121695,ZNF717,zinc finger protein 717
4234,NP_149350,ZNF658,zinc finger protein 658
4235,NP_848618,ZNF616,zinc finger protein 616
4236,NP_008890,ZNF17,zinc finger protein 17
4237,NP_001007249,ZNF599,zinc finger protein 599
4238,NP_008889,ZNF16,zinc finger protein 16
4239,NP_689668,ZSCAN29,zinc finger and SCAN domain-containing protein 29
4240,NP_009076,ZNF146,zinc finger protein OZF
4241,NP_001096127,ZNF836,zinc finger protein 836
4242,NP_079009,ZNF665,zinc finger protein 665
4243,NP_001229609,ZNF729,zinc finger protein 729
4244,NP_001138906,ZNF880,zinc finger protein 880
4245,NP_862828,ZNF283,zinc finger protein 283
4246,NP_001191747,ZNF587,zinc finger protein 587B
4247,NP_003399,ZNF37,zinc finger protein 37 homolog
4248,NP_065708,ZNF304,zinc finger protein 304
4249,NP_001156863,ZSCAN12,zinc finger and SCAN domain-containing protein 12
4250,NP_699189,ZNF791,zinc finger protein 791
4251,NP_001265102,ZNF33,zinc finger protein 33A isoform e
4252,NP_597730,ZNF431,zinc finger protein 431
4253,NP_689475,ZNF439,zinc finger protein 439
4254,NP_116078,ZNF607,zinc finger protein 607 isoform 1
4255,NP_055333,ZNF229,zinc finger protein 229 isoform 1
4256,NP_872415,ZNF677,zinc finger protein 677
4257,NP_940941,ZNF568,zinc finger protein 568 isoform 1
4258,NP_694563,ZNF3,zinc finger protein 3 homolog
4259,NP_597717,ZNF418,zinc finger protein 418
4260,NP_005764,ZNF256,zinc finger protein 256
4261,NP_001129507,TRMT1,tRNA (guanine(26)-N(2))-dimethyltransferase isoform 1
4262,NP_065156,SCYL3,protein-associating with the carboxyl-terminal domain of ezrin isoform 1
4263,NP_060297,SARS2,"serine--tRNA ligase, mitochondrial isoform b precursor"
4264,NP_001026971,LIMK2,LIM domain kinase 2 isoform 1
4265,NP_005560,LIMK2,LIM domain kinase 2 isoform 2a
4266,NP_619634,PPP1R14B,protein phosphatase 1 regulatory subunit 14B
4267,NP_004270,PMPCB,mitochondrial-processing peptidase subunit beta precursor
4268,NP_065861,TRMT5,tRNA (guanine(37)-N1)-methyltransferase
4269,NP_000300,PPOX,protoporphyrinogen oxidase
4270,NP_056114,KHNYN,protein KHNYN
4271,NP_065392,C20ORF3,adipocyte plasma membrane-associated protein
4272,NP_009201,FKBP9,peptidyl-prolyl cis-trans isomerase FKBP9 precursor
4273,NP_000700,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial isoform 1 precursor"
4274,NP_001258395,ARMC9,lisH domain-containing protein ARMC9 isoform 1
4275,NP_005474,CHAF1A,chromatin assembly factor 1 subunit A
4276,NP_055238,AFF4,AF4/FMR2 family member 4
4277,NP_068746,GUF1,"translation factor GUF1, mitochondrial"
4278,NP_055871,RRP1B,ribosomal RNA processing protein 1 homolog B
4279,NP_002336,LUM,lumican precursor
4280,NP_031377,MMRN1,multimerin-1 precursor
4281,NP_002681,POLB,DNA polymerase beta
4282,NP_001659,ARNT,aryl hydrocarbon receptor nuclear translocator isoform 1
4283,NP_001184254,ARNT,aryl hydrocarbon receptor nuclear translocator isoform 4
4284,NP_055677,ARNT2,aryl hydrocarbon receptor nuclear translocator 2
4285,NP_001026976,ALDH3A2,fatty aldehyde dehydrogenase isoform 1
4286,NP_000685,ALDH3B1,aldehyde dehydrogenase family 3 member B1 isoform a
4287,NP_000682,ALDH3A1,"aldehyde dehydrogenase, dimeric NADP-preferring"
4288,NP_000686,ALDH3B2,aldehyde dehydrogenase family 3 member B2
4289,NP_002709,PPP2R3A,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha isoform 1
4290,NP_060561,ELP3,elongator complex protein 3
4291,NP_003001,MAP2K4,dual specificity mitogen-activated protein kinase kinase 4
4292,NP_071334,EGLN1,egl nine homolog 1
4293,NP_071356,EGLN3,egl nine homolog 3
4294,NP_000840,GSTM3,glutathione S-transferase Mu 3
4295,NP_003747,EIF3H,eukaryotic translation initiation factor 3 subunit H
4296,NP_852478,ITGA1,integrin alpha-1 precursor
4297,NP_004292,ACTL6A,actin-like protein 6A isoform 1
4298,NP_057272,ACTL6B,actin-like protein 6B
4299,NP_443122,PGLYRP2,N-acetylmuramoyl-L-alanine amidase precursor
4300,NP_006615,ZMYND11,zinc finger MYND domain-containing protein 11 isoform a
4301,NP_057594,SCLY,selenocysteine lyase
4302,NP_000033,APOH,beta-2-glycoprotein 1 precursor
4303,NP_036266,LMOD1,leiomodin-1
4304,NP_059982,ENOSF1,mitochondrial enolase superfamily member 1 isoform rTSbeta
4305,NP_001119595,ENOSF1,mitochondrial enolase superfamily member 1 isoform rTSalpha
4306,NP_056937,UBXN1,UBX domain-containing protein 1
4307,NP_004248,TGFBRAP1,transforming growth factor-beta receptor-associated protein 1
4308,NP_056340,IBTK,inhibitor of Bruton tyrosine kinase
4309,NP_116162,LRCH3,leucine-rich repeat and calponin homology domain-containing protein 3 precursor
4310,NP_001155251,PDP1,pyruvate dehyrogenase phosphatase catalytic subunit 1 isoform 2
4311,NP_006288,XRCC1,DNA repair protein XRCC1
4312,NP_002824,PTPN9,tyrosine-protein phosphatase non-receptor type 9
4313,NP_001013012,SNX30,sorting nexin-30
4314,NP_000496,F12,coagulation factor XII precursor
4315,NP_001830,CNN3,calponin-3
4316,NP_004359,CNN2,calponin-2 isoform a
4317,NP_002341,LYN,tyrosine-protein kinase Lyn isoform A
4318,NP_001104567,LYN,tyrosine-protein kinase Lyn isoform B
4319,NP_002101,HCK,tyrosine-protein kinase HCK isoform a
4320,NP_060919,UBAP2,ubiquitin-associated protein 2
4321,NP_001121093,GALE,UDP-glucose 4-epimerase
4322,NP_057712,WAC,WW domain-containing adapter protein with coiled-coil isoform 1
4323,NP_567823,WAC,WW domain-containing adapter protein with coiled-coil isoform 3
4324,NP_055496,DHX34,probable ATP-dependent RNA helicase DHX34
4325,NP_004690,FAM50A,protein FAM50A
4326,NP_036267,FAM50B,protein FAM50B
4327,NP_000113,ERCC3,TFIIH basal transcription factor complex helicase XPB subunit
4328,NP_001107563,CDC27,cell division cycle protein 27 homolog isoform 1
4329,NP_001095838,C14ORF159,"UPF0317 protein C14orf159, mitochondrial isoform b"
4330,NP_000629,VTN,vitronectin precursor
4331,NP_002084,GSK3B,glycogen synthase kinase-3 beta isoform 1
4332,NP_063937,GSK3A,glycogen synthase kinase-3 alpha
4333,NP_001177,BACH1,transcription regulator protein BACH1
4334,NP_001738,CAPG,macrophage-capping protein isoform 1
4335,NP_001185702,PI4KB,phosphatidylinositol 4-kinase beta isoform 2
4336,NP_001803,CENPC1,centromere protein C 1
4337,NP_060401,TTC38,tetratricopeptide repeat protein 38
4338,NP_060767,NGLY1,peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase isoform 1
4339,NP_056210,TECPR1,tectonin beta-propeller repeat-containing protein 1
4340,NP_001138765,NGLY1,peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase isoform 2
4341,NP_006550,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 isoform 1"
4342,NP_006549,KHDRBS3,"KH domain-containing, RNA-binding, signal transduction-associated protein 3"
4343,NP_689901,KHDRBS2,"KH domain-containing, RNA-binding, signal transduction-associated protein 2"
4344,NP_079359,EDC3,enhancer of mRNA-decapping protein 3
4345,NP_003829,FPGT,fucose-1-phosphate guanylyltransferase isoform 1
4346,NP_001106279,FPGT-TNNI3K,FPGT-TNNI3K fusion protein isoform a
4347,NP_006491,MCAM,cell surface glycoprotein MUC18 precursor
4348,NP_000511,HEXA,beta-hexosaminidase subunit alpha preproprotein
4349,NP_001124437,SUN1,SUN domain-containing protein 1 isoform a
4350,NP_001165415,SUN1,SUN domain-containing protein 1 isoform c
4351,NP_001165416,SUN1,SUN domain-containing protein 1 isoform d
4352,NP_001107579,PDLIM3,PDZ and LIM domain protein 3 isoform b
4353,NP_055291,PDLIM3,PDZ and LIM domain protein 3 isoform a
4354,NP_001244892,PDLIM3,PDZ and LIM domain protein 3 isoform d
4355,NP_005654,WHSC2,negative elongation factor A
4356,NP_060788,CCDC91,coiled-coil domain-containing protein 91
4357,NP_001073919,BEND3,BEN domain-containing protein 3
4358,NP_061973,DMAP1,DNA methyltransferase 1-associated protein 1
4359,NP_060547,RBM28,RNA-binding protein 28 isoform 1
4360,NP_078988,ELMO3,engulfment and cell motility protein 3
4361,NP_001034813,NOSTRIN,nostrin isoform 2
4362,NP_056123,FNBP4,formin-binding protein 4
4363,NP_060579,MTPAP,"poly(A) RNA polymerase, mitochondrial precursor"
4364,NP_001243232,DTNB,dystrobrevin beta isoform 6
4365,NP_001185867,DTNA,dystrobrevin alpha isoform 10
4366,NP_001185871,DTNA,dystrobrevin alpha isoform 14
4367,NP_000256,NCF1,neutrophil cytosol factor 1
4368,NP_075461,CACNQA1A,voltage-dependent P/Q-type calcium channel subunit alpha-1A isoform 2
4369,XP_003960990,GNOMON,PREDICTED: voltage-dependent N-type calcium channel subunit alpha-1B-like
4370,NP_671704,HS6ST2,heparan-sulfate 6-O-sulfotransferase 2 isoform S
4371,NP_115758,COG8,conserved oligomeric Golgi complex subunit 8
4372,NP_001138244,NSMAF,protein FAN isoform 2
4373,NP_054829,PPP1R8,nuclear inhibitor of protein phosphatase 1 isoform alpha
4374,NP_001157685,LRCH1,leucine-rich repeat and calponin homology domain-containing protein 1 isoform 3
4375,NP_001230892,LRCH2,leucine-rich repeat and calponin homology domain-containing protein 2 isoform 2
4376,NP_004542,NDUFS3,NADH dehydrogenase
4377,NP_006144,NCK1,cytoplasmic protein NCK1 isoform 1
4378,NP_001004720,NCK2,cytoplasmic protein NCK2 isoform A
4379,NP_001074,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase isoform 1"
4380,NP_246273,PDE5A,"cGMP-specific 3',5'-cyclic phosphodiesterase isoform 3"
4381,NP_076982,SECISBP2,selenocysteine insertion sequence-binding protein 2
4382,NP_001180418,SECISBP2L,selenocysteine insertion sequence-binding protein 2-like isoform 1
4383,NP_001120686,ACSF3,"acyl-CoA synthetase family member 3, mitochondrial precursor"
4384,NP_001096654,FMN1,formin-1 isoform b
4385,NP_001264242,FMN1,formin-1 isoform a
4386,NP_005882,ACAT2,"acetyl-CoA acetyltransferase, cytosolic"
4387,NP_003791,RNGTT,mRNA-capping enzyme
4388,NP_004138,DRG1,developmentally-regulated GTP-binding protein 1
4389,NP_001379,DRG2,developmentally-regulated GTP-binding protein 2
4390,NP_000176,SERPIND1,heparin cofactor 2 precursor
4391,NP_001171890,PEG10,retrotransposon-derived protein PEG10 isoform 5
4392,NP_001165908,PEG10,retrotransposon-derived protein PEG10 isoform 3
4393,NP_055883,PEG10,retrotransposon-derived protein PEG10 isoform 1
4394,NP_001171891,PEG10,retrotransposon-derived protein PEG10 isoform 6
4395,NP_001153651,PEG10,arylamine N-acetyltransferase 1 isoform a
4396,NP_003194,GCFC2,GC-rich sequence DNA-binding factor 2 isoform 1
4397,NP_001188264,GCFC2,GC-rich sequence DNA-binding factor 2 isoform 3
4398,NP_000745,COMT,catechol O-methyltransferase isoform MB-COMT
4399,NP_443157,LENG8,leukocyte receptor cluster member 8
4400,NP_056538,PNPLA8,calcium-independent phospholipase A2-gamma isoform 1
4401,NP_004068,CS,"citrate synthase, mitochondrial precursor"
4402,NP_057114,TTC15,trafficking protein particle complex subunit 12
4403,NP_004777,TXNL1,thioredoxin-like protein 1
4404,NP_036556,RPS6KC1,ribosomal protein S6 kinase delta-1 isoform a
4405,NP_443188,ACSM1,"acyl-coenzyme A synthetase ACSM1, mitochondrial"
4406,NP_000713,CACNA2D1,voltage-dependent calcium channel subunit alpha-2/delta-1 precursor
4407,NP_002606,SERPINF1,pigment epithelium-derived factor precursor
4408,NP_002755,PRPS1,ribose-phosphate pyrophosphokinase 1 isoform 1
4409,NP_002756,PRPS2,ribose-phosphate pyrophosphokinase 2 isoform 2
4410,NP_008941,DDX52,probable ATP-dependent RNA helicase DDX52
4411,NP_071381,XPNPEP3,probable Xaa-Pro aminopeptidase 3 isoform 1
4412,NP_003720,RTCD1,RNA 3'-terminal phosphate cyclase isoform b
4413,NP_079160,L2HGDH,"L-2-hydroxyglutarate dehydrogenase, mitochondrial precursor"
4414,NP_001616,AK2,"adenylate kinase 2, mitochondrial isoform a"
4415,NP_001186128,AK2,"adenylate kinase 2, mitochondrial isoform c"
4416,NP_055859,GGA2,ADP-ribosylation factor-binding protein GGA2
4417,NP_619525,GGA3,ADP-ribosylation factor-binding protein GGA3 isoform long
4418,NP_037497,GGA1,ADP-ribosylation factor-binding protein GGA1 isoform 1
4419,NP_000960,RPL5,60S ribosomal protein L5
4420,NP_000427,OXCT1,"succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial precursor"
4421,NP_060273,DUS2L,tRNA-dihydrouridine(20) synthase
4422,NP_001598,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal isoform a"
4423,NP_003968,AIP,AH receptor-interacting protein
4424,NP_056444,PRPF31,U4/U6 small nuclear ribonucleoprotein Prp31
4425,NP_149061,CECR5,cat eye syndrome critical region protein 5 isoform 2 precursor
4426,NP_071350,VIPAR,spermatogenesis-defective protein 39 homolog isoform 1
4427,NP_054735,SACM1L,phosphatidylinositide phosphatase SAC1
4428,NP_001531,HSPB1,heat shock protein beta-1
4429,NP_060631,NADSYN1,glutamine-dependent NAD(+) synthetase
4430,NP_004652,CDC23,cell division cycle protein 23 homolog
4431,NP_005860,CWC27,peptidyl-prolyl cis-trans isomerase CWC27 homolog
4432,NP_775179,SMG7,protein SMG7 isoform 1
4433,NP_060515,BSDC1,BSD domain-containing protein 1 isoform b
4434,NP_060138,NDE1,nuclear distribution protein nudE homolog 1
4435,NP_110435,NDEL1,nuclear distribution protein nudE-like 1 isoform B
4436,NP_001389,ECH1,"delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial precursor"
4437,NP_076412,PHACTR4,phosphatase and actin regulator 4 isoform 2
4438,NP_003892,SGPL1,sphingosine-1-phosphate lyase 1
4439,NP_055331,CNOT3,CCR4-NOT transcription complex subunit 3
4440,NP_006691,TRAFD1,TRAF-type zinc finger domain-containing protein 1
4441,NP_277047,TSPYL5,testis-specific Y-encoded-like protein 5
4442,NP_001123544,EPN1,epsin-1 isoform b
4443,NP_060427,EPN3,epsin-3
4444,NP_683723,EPN2,epsin-2 isoform a
4445,NP_055779,EPN2,epsin-2 isoform b
4446,NP_689725,ENTHD1,ENTH domain-containing protein 1
4447,NP_001159403,RRM2,ribonucleoside-diphosphate reductase subunit M2 isoform 1
4448,NP_056528,RRM2B,ribonucleoside-diphosphate reductase subunit M2 B isoform 1
4449,NP_056041,CLEC16A,protein CLEC16A isoform 1
4450,NP_001230332,CLEC16A,protein CLEC16A isoform 2
4451,NP_001216,CASP4,caspase-4 isoform alpha precursor
4452,NP_001129584,CASP5,caspase-5 isoform f precursor
4453,XP_003960209,GNOMON,PREDICTED: DNA-directed RNA polymerase III subunit RPC3-like isoform 1
4454,NP_001096045,SNX18,sorting nexin-18 isoform a
4455,NP_443102,SNX18,sorting nexin-18 isoform b
4456,NP_002216,IVD,"isovaleryl-CoA dehydrogenase, mitochondrial isoform 1 precursor"
4457,NP_057068,UCHL5,ubiquitin carboxyl-terminal hydrolase isozyme L5 isoform 1
4458,NP_001186190,UCHL5,ubiquitin carboxyl-terminal hydrolase isozyme L5 isoform 2
4459,NP_003725,AOC3,membrane primary amine oxidase isoform 1
4460,NP_033720,AOC2,retina-specific copper amine oxidase isoform b precursor
4461,NP_003375,VRK1,serine/threonine-protein kinase VRK1
4462,NP_001074012,CACTIN,cactin
4463,NP_057307,PACSIN3,protein kinase C and casein kinase substrate in neurons protein 3
4464,NP_001121700,TPRN,taperin
4465,NP_001139490,TJAP1,tight junction-associated protein 1 isoform b
4466,NP_001139488,TJAP1,tight junction-associated protein 1 isoform a
4467,NP_005834,STAM2,signal transducing adapter molecule 2
4468,NP_003464,STAM,signal transducing adapter molecule 1
4469,NP_061940,GNL3L,guanine nucleotide-binding protein-like 3-like protein
4470,NP_057231,PPME1,protein phosphatase methylesterase 1 isoform a
4471,NP_002175,IL6ST,interleukin-6 receptor subunit beta isoform 1 precursor
4472,NP_001171619,NPNT,nephronectin isoform A precursor
4473,NP_001028219,NPNT,nephronectin isoform B precursor
4474,NP_001171621,NPNT,nephronectin isoform D precursor
4475,NP_055686,PAN2,PAB-dependent poly(A)-specific ribonuclease subunit 2 isoform 3
4476,NP_005198,CRKL,crk-like protein
4477,NP_060139,ERCC6L,DNA excision repair protein ERCC-6-like
4478,NP_116764,CASP2,caspase-2 isoform 1 preproprotein
4479,NP_054745,DCPS,m7GpppX diphosphatase
4480,NP_078894,NLRX1,NLR family member X1 isoform 1
4481,NP_038466,UBQLN1,ubiquilin-1 isoform 1
4482,NP_444295,UBQLN1,ubiquilin-1 isoform 2
4483,NP_064516,UBQLN4,ubiquilin-4
4484,NP_038472,UBQLN2,ubiquilin-2
4485,NP_059509,UBQLN3,ubiquilin-3
4486,NP_005556,LCP2,lymphocyte cytosolic protein 2
4487,NP_056170,SUZ12,polycomb protein SUZ12
